"filename", "language", "JSON", "HTML", "JavaScript", "PostCSS", "SCSS", "PHP", "comment", "blank", "total"
"c:\wamp64\www\student002\shop\backend\public\checkout_steps\checkout_step2.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\wamp64\www\student002\shop\backend\public\checkout_steps\checkout_step3.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\wamp64\www\student002\shop\backend\public\checkout_success.php", "PHP", 0, 0, 0, 0, 0, 16, 1, 5, 22
"c:\wamp64\www\student002\shop\backend\public\index.php", "PHP", 0, 0, 0, 0, 0, 5, 0, 4, 9
"c:\wamp64\www\student002\shop\backend\public\login.php", "PHP", 0, 0, 0, 0, 0, 46, 5, 12, 63
"c:\wamp64\www\student002\shop\backend\public\logout.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\wamp64\www\student002\shop\backend\public\register.php", "PHP", 0, 0, 0, 0, 0, 72, 8, 18, 98
"c:\wamp64\www\student002\shop\backend\public\shopping_cart.php", "PHP", 0, 0, 0, 0, 0, 93, 4, 19, 116
"c:\wamp64\www\student002\shop\css\commons.css", "PostCSS", 0, 0, 0, 279, 0, 0, 10, 52, 341
"c:\wamp64\www\student002\shop\css\index.css", "PostCSS", 0, 0, 0, 47, 0, 0, 7, 16, 70
"c:\wamp64\www\student002\shop\css\main.css", "PostCSS", 0, 0, 0, 266, 0, 0, 8, 41, 315
"c:\wamp64\www\student002\shop\css\output.css", "PostCSS", 0, 0, 0, 1747, 0, 0, 1, 1, 1749
"c:\wamp64\www\student002\shop\css\sass\_commons.scss", "SCSS", 0, 0, 0, 0, 283, 0, 7, 53, 343
"c:\wamp64\www\student002\shop\css\sass\_mixins.scss", "SCSS", 0, 0, 0, 0, 44, 0, 1, 11, 56
"c:\wamp64\www\student002\shop\css\sass\_variables.scss", "SCSS", 0, 0, 0, 0, 10, 0, 2, 4, 16
"c:\wamp64\www\student002\shop\css\sass\cart.css", "PostCSS", 0, 0, 0, 414, 0, 0, 2, 10, 426
"c:\wamp64\www\student002\shop\css\sass\cart.scss", "SCSS", 0, 0, 0, 0, 104, 0, 0, 17, 121
"c:\wamp64\www\student002\shop\index.html", "HTML", 0, 88, 0, 0, 0, 0, 6, 11, 105
"c:\wamp64\www\student002\shop\js\backend_products.js", "JavaScript", 0, 0, 16, 0, 0, 0, 2, 4, 22
"c:\wamp64\www\student002\shop\js\commons.js", "JavaScript", 0, 0, 36, 0, 0, 0, 5, 6, 47
"c:\wamp64\www\student002\shop\js\detailProducts.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\wamp64\www\student002\shop\js\frontend_products.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 10, 47
"c:\wamp64\www\student002\shop\package-lock.json", "JSON", 1061, 0, 0, 0, 0, 0, 0, 1, 1062
"c:\wamp64\www\student002\shop\package.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp64\www\student002\shop\views\productDetail.html", "HTML", 0, 163, 0, 0, 0, 0, 10, 24, 197
"c:\wamp64\www\student002\shop\views\products.html", "HTML", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\wamp64\www\student002\shop\views\shoppingCart.html", "HTML", 0, 111, 0, 0, 0, 0, 2, 12, 125
"Total", "-", 1070, 372, 91, 2753, 441, 1875, 139, 658, 7399
